Année;Code_INSEE;Résultat;Femmes;Hommes;Agriculteurs;Artisans;Cadres;Intermédiaires;Employés;Ouvriers;Retraités;Etudiants;Inactifs;Personne seule;Homme seul;Femme seule;Colocation;Famille;Famille monoparentale;Couple sans enfant;Couple avec enfants;Population avec enfants;15-24 ans;25-39 ans;40-54 ans;55-64 ans;65-79 ans;80 ans et +;Mariés;Pacsés;Concubinage;Veufs;Divorcés;Célibataires;Population_active
2022;01043;centre;2098.235656;1879.727639;10.39397;150.37633;754.62049;693.587507;489.202702;315.075985;1093.181922;0.0;471.524389;516.984777;190.468076;326.516701;10.634683;4372.378096;496.555802;1287.464544;2588.357751;4899.997556;563.322159;709.45272;1134.147365;660.725861;675.113962;246.739308;2053.959558;252.453424;340.354132;231.423162;248.7507;862.5604;3989.501375
2022;01044;droite;251.153767;254.583726;0.0;17.789309;58.256751;123.190917;89.044485;78.474757;81.543364;0.0;57.437912;106.124782;63.674869;42.449913;0.0;562.875218;26.000852;121.33731;415.537056;669.0;61.075813;135.795772;141.926578;67.707421;74.307289;47.086666;220.29303;33.676322;79.938804;38.481629;35.104294;120.405461;527.899539
2022;01045;droite;117.502374;145.473046;11.688417;15.544608;33.722747;55.530511;29.269413;23.425204;76.12099;0.0;17.673531;22.243638;13.346183;8.897455;0.0;257.756362;16.008488;91.588785;150.159089;280.0;33.03277;44.067189;74.152939;31.397631;28.492109;9.8811;99.74406;24.390695;29.566906;9.639767;11.220153;46.462157;262.97542
2022;01046;droite;356.483489;359.690259;10.459822;49.094484;28.947535;133.751295;150.93831;165.153407;127.623379;0.0;50.205516;91.664244;36.665698;54.998547;9.518233;795.817522;24.34355;228.4376;543.036372;897.0;99.069796;155.728132;194.945058;126.865657;105.350544;31.290313;331.917875;67.190387;97.56342;36.674413;29.471382;150.432023;716.173748
2022;01047;droite;491.654387;539.300966;5.320522;73.876708;153.006414;226.917858;206.277629;132.333859;143.520412;0.0;89.70195;101.741624;53.548223;48.193401;10.641045;1238.617331;106.138679;244.472261;888.006391;1351.0;138.124819;312.955992;303.504478;145.617192;95.553632;30.090508;501.59637;92.747923;121.519233;36.569827;56.893558;216.519711;1030.955353
2022;01049;droite;1384.398027;1364.20236;5.104477;148.227145;327.788127;574.073976;389.35933;276.963634;628.709102;0.0;398.374595;300.318301;165.692856;134.625445;35.999749;3044.684691;241.155849;777.929591;2025.599251;3381.00274;364.055908;604.290601;711.502827;450.687234;390.746289;146.842931;1362.694675;230.37012;247.958299;121.432924;131.360979;574.308793;2748.600387
2022;01050;droite;129.737281;161.554165;10.02534;49.100653;5.084963;40.853174;54.889526;44.247188;47.090594;0.0;40.00001;27.819738;23.183115;4.636623;0.0;356.177169;38.251966;57.377949;260.547253;383.996907;37.466245;86.633172;67.080848;44.524763;26.555234;22.407379;128.541749;30.724088;48.068612;12.500571;7.880917;56.951703;291.291447
2022;01051;gauche;36.473684;52.105263;0.0;10.421053;5.210526;0.0;15.631579;15.631579;31.263158;0.0;10.421053;10.421053;10.421053;0.0;0.0;88.578947;0.0;52.105263;36.473684;99.0;4.805825;14.417476;22.106796;14.417476;21.145631;4.805825;36.524272;11.533981;14.417476;3.84466;4.805825;10.572816;88.578947
2022;01052;droite;124.361314;150.100606;20.102923;32.064639;41.076868;26.623141;42.005956;11.260138;75.270358;0.0;26.057898;39.114535;29.335901;9.778634;0.0;283.885465;10.129653;111.426182;162.329631;323.0;19.807092;41.761887;62.327453;60.53239;59.073247;25.327905;157.049602;14.560923;29.553935;15.25614;5.868317;46.541058;274.461921
2022;01053;gauche;18622.885204;16591.607556;10.565152;737.666302;2529.626729;4743.349765;5131.046097;4951.669281;9818.973331;0.0;7291.596104;10834.985602;4606.01074;6228.974862;610.937791;28603.162078;5966.07086;8515.817242;14121.273976;40049.085471;6071.608652;7373.150111;7529.820169;4654.50182;6226.958453;3383.227445;12384.273852;1129.088969;3299.690055;2587.726049;3521.34949;12317.138236;35239.26665
2022;01054;droite;553.953032;567.094443;9.614248;77.317262;208.275586;226.848709;169.574796;125.558896;222.028119;0.0;81.82986;110.315434;45.129041;65.186393;0.0;1429.684566;161.274097;353.466879;914.94359;1540.0;157.28041;279.145944;351.195473;188.749766;169.675273;41.824036;533.517169;158.697276;159.112499;34.127075;62.589222;239.827662;1187.870903
2022;01056;droite;143.241648;138.376851;19.6469;10.107277;19.835064;34.899867;39.341064;19.835514;107.870015;0.0;30.082798;48.652387;24.326194;24.326194;0.0;313.347613;44.721311;108.055518;160.570783;362.0;29.793291;49.451216;88.799688;34.164539;65.350984;22.485469;131.795445;10.927045;55.293683;14.59329;16.529274;60.906451;290.045187
2022;01057;droite;194.574967;198.021904;0.0;30.488488;24.530479;85.881035;55.910403;49.703705;116.104695;0.0;29.978067;70.538559;27.130215;43.408344;0.0;408.448509;35.957994;104.425888;268.064627;478.987067;43.722613;88.553308;120.166871;61.733958;60.744963;22.907578;185.623841;35.367347;49.997403;23.191845;22.99098;80.657875;397.829291
2022;01058;droite;350.617059;314.619774;5.178164;29.826639;30.580427;126.274941;74.483687;115.881015;208.89357;0.0;74.118391;101.428923;37.368551;64.060373;0.0;694.569817;59.688985;238.19554;396.685291;795.99874;81.184784;135.359762;159.75259;105.021235;134.495713;42.087693;321.900493;40.968655;94.436067;41.424935;32.260968;126.910658;665.236834
2022;01060;centre;209.970232;223.352889;9.313508;18.631251;27.664942;69.680408;78.937086;88.590448;118.015471;0.0;22.490008;90.507523;42.871985;47.635539;0.0;456.492477;55.744314;159.527846;241.220317;547.0;46.324934;90.816477;106.82498;67.101389;99.081297;46.518163;206.539826;45.46404;66.416037;33.9893;22.271104;81.986933;456.66724
2022;01061;droite;484.211847;467.533665;0.0;49.900842;95.718492;167.740562;129.146406;109.995621;302.376845;0.0;96.866743;111.799178;39.129712;72.669465;0.0;1005.200822;50.973163;409.174873;545.052787;1117.0;98.403023;152.743661;248.447556;187.052868;212.442108;30.954806;536.820753;68.162592;73.133611;50.009046;35.523002;166.395017;951.745512
2022;01062;centre;389.824706;370.267673;0.0;28.72862;162.103442;159.978123;94.668826;50.84822;215.343254;0.0;48.421892;84.686632;40.114721;44.571912;0.0;918.313368;98.566321;247.632943;572.114103;1003.0;103.66312;183.471654;206.376862;131.374111;134.910341;33.938414;361.128834;87.419187;113.128848;30.722705;42.966552;158.368377;793.734502
2022;01063;droite;281.327434;240.292035;0.0;25.575221;30.690265;81.840708;71.610619;76.725664;168.79646;0.0;66.380531;81.840708;35.80531;46.035398;10.230088;485.929204;56.265487;163.681416;265.982301;578.0;65.0;73.0;133.0;68.0;119.0;33.0;253.0;26.0;49.0;29.0;28.0;106.0;521.619469
2022;01064;droite;452.984935;416.196535;10.355632;40.338029;50.773467;156.701385;90.682094;223.2932;241.631376;0.0;55.406289;156.614584;62.645834;93.96875;10.270291;931.116023;66.001383;322.275461;542.839179;1098.000898;92.818948;219.695683;267.311722;156.595475;101.52816;22.759102;406.999636;53.509314;106.704279;43.474025;56.544974;193.476862;869.18147
2022;01065;droite;758.548425;754.822246;15.753724;94.28525;201.258369;252.923502;245.056366;157.585573;431.136783;0.0;115.371105;204.324913;90.811073;113.513841;10.827774;1668.847312;165.582948;541.388724;961.87564;1884.0;153.317916;322.984715;384.908782;275.997793;308.564415;83.864669;848.040068;106.571035;146.322366;77.692217;90.977;260.035604;1529.638291
2022;01066;droite;30.3125;54.5625;0.0;0.0;12.125;6.0625;12.125;24.25;12.125;0.0;18.1875;18.1875;18.1875;0.0;0.0;78.8125;12.125;24.25;42.4375;97.0;8.719101;14.168539;19.617978;18.52809;14.168539;2.179775;35.966292;5.449438;10.898876;2.179775;5.449438;17.438202;84.875
